region,1400,1450,1500,1550,1600,1650,1700,1750,1800
"London, coal",,3.76,3.36,3.08,2.63,3.56,3.93,3.96,3.84
"London, charcoal",6.35,4.50,4.14,5.91,5.08,10.21,11.15,10.08,
"Northeast UK coast, coal",,,0.35,0.57,0.60,0.48,0.54,0.75,
"Western UK, coal",,,0.69,0.69,0.63,0.58,0.63,0.65,0.50
"Western UK, charcoal",,,1.30,1.26,1.30,1.80,2.49,2.97,2.67
"Amsterdam, peat",,,4.04,3.01,4.09,3.70,4.21,4.87,7.08
"Amsterdam, wood",,,,,2.55,3.39,3.57,4.23,5.67
"Amsterdam, coal",,,,,,,,,4.57
"Antwerp, charcoal",8.01,8.57,7.25,7.50,9.96,10.49,12.61,13.94,12.31
"Antwerp, peat",,,,,,15.31,20.28,23.15,15.92
"Antwerp, coal",,,,6.53,4.92,6.41,7.61,6.60,5.51
Paris,,,,,5.50,5.39,6.95,6.65,
Florence,,,4.73,4.79,5.02,,6.10,5.13,6.38
Naples,,,,7.88,8.45,,7.01,5.85,5.39
Valencia,9.97,9.04,9.03,7.80,6.64,6.90,5.53,6.58,
Madrid,,,,7.17,6.49,7.06,6.16,5.98,6.28
Strasbourg,2.82,2.25,2.08,2.54,2.38,2.69,3.34,4.30,5.93
Leipzig,,,,4.18,3.73,3.05,4.21,3.69,
Vienna,2.87,2.58,2.34,2.65,2.15,2.72,3.20,3.31,2.76
Gdansk,,,5.35,6.06,4.60,4.54,4.96,6.99,6.01
Warsaw,,,,6.70,9.50,9.99,8.78,10.81,
Lwow,,,6.34,6.26,7.83,6.09,7.03,6.38,
Beijing,,,,,,,10.85,9.41,7.11
Canton,,,,,,,5.14,7.66,
Puna,,,,,,,,13.12,10.78
