Year,capitatoe,mpop,toe,mtoe
1973,0.48,935.083,448839840,448.83984
1980,0.696653948,984.73646,686020542.2,686.0205422
1981,0.68428793,997.00072,682235558.6,682.2355586
1982,0.702892685,1012.49049,711672159.5,711.6721595
1983,0.733563229,1028.35653,754364536.5,754.3645365
1984,0.778377218,1042.75605,811657553.4,811.6575534
1985,0.825382408,1058.00772,873260959.4,873.2609594
1986,0.858180947,1074.52256,922134788.5,922.1347885
1987,0.898324603,1093.72571,982520714,982.520714
1988,0.943036651,1112.86641,1049473812,1049.473812
1989,0.946095248,1130.72941,1069777721,1069.777721
1990,0.932971083,1148.36447,1071390844,1071.390844
1991,0.960283259,1163.61039,1117395577,1117.395577
1992,0.986273108,1177.53561,1161371706,1161.371706
1993,1.000874511,1190.76183,1191803165,1191.803165
1994,1.12444779,1203.80174,1353612206,1353.612206
1995,1.133894787,1216.37844,1379245172,1379.245172
1996,1.149048425,1227.88219,1410896096,1410.896096
1997,1.209840404,1238.12566,1497934449,1497.934449
1998,1.178235532,1247.50222,1469851442,1469.851442
1999,1.153616154,1255.9925,1448933237,1448.933237
2000,1.14159705,1263.63753,1442564877,1442.564877
2001,1.199546375,1270.74423,1524316634,1524.316634
2002,1.363878954,1277.59472,1742484550,1742.48455
2003,1.580632183,1284.30332,2030011160,2030.01116
2004,1.934023989,1291.0018,2496828451,2496.828451
2005,2.086823041,1297.76532,2708206572,2708.206572
2006,2.217754197,1304.26188,2892532258,2892.532258
2007,2.361805316,1310.58354,3095343172,3095.343172
2008,2.562850681,1317.06568,3375442674,3375.442674
