GDP,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,
,UK,R.O. W. Europe ,USA,R.O. W. Offshoots ,F. USSR ,L. America,China ,India ,Japan ,R.O. Asia ,Total Africa ,World
1,320,14113,272,176,1560,2240,26820,33750,1200,14965,8030,103446
1000,800,10125,520,228,2840,4560,27494,33750,3188,21383,13720,118608
1500,2815,41344,800,320,8458,7288,61800,60500,7700,31317,19283,241625
1600,6007,59501,600,320,11426,3763,96000,74250,9620,37219,23349,322055
1700,10709,70218,527,306,16196,6346,82800,90750,15390,40731,25692,359665
1820,36232,122628,12548,951,37678,14921,228600,111417,20739,51721,31161,668596
1870,100180,266019,98374,13119,83646,27311,189740,134882,25393,75623,45234,1059521
1900,184861,489126,312499,34369,154049,71911,218154,170466,52020,116205,66136,1869797
1913,224618,677462,517383,65558,232351,120796,241431,204242,71653,163416,79486,2598396
1950,347850,1048437,1455916,179574,510243,415328,244985,222222,160966,362670,202646,5150837
1951,358234,1120582,1566784,186756,512566,437608,273733,227362,181025,377496,212141,5454287
1952,357585,1174708,1625245,195838,545792,452888,305854,234148,202005,398726,220251,5713041
1953,371646,1238852,1699970,203793,569260,469305,321030,248963,216889,431825,228309,5999842
1954,386789,1312376,1688804,209302,596910,497515,331550,259262,229151,451478,239201,6202338
1955,400850,1404248,1808126,224743,648027,530740,350908,265527,248855,467183,247456,6596664
1956,405825,1481914,1843455,238921,710065,553757,382892,280978,267567,489320,257532,6912226
1957,412315,1557848,1878063,245144,724470,595616,405386,277924,287130,515421,266967,7166284
1958,411450,1607037,1859088,252329,778840,626497,450977,299137,303857,527419,273021,7389652
1959,428107,1687030,1997061,264932,770244,639244,457139,305499,331570,557705,288033,7726564
1960,452768,1798544,2046727,273414,843434,682112,441694,326910,375090,586623,300822,8128138
1961,467694,1903679,2094396,280015,891763,715056,365092,336744,420246,620511,307340,8402536
1962,472454,2015531,2220732,297789,915928,744539,366465,344204,457742,653366,319463,8808213
1963,490625,2113949,2316765,314203,895016,767314,402776,361442,496514,688575,342261,9189440
1964,516584,2245739,2450915,334590,1010727,819922,450312,389262,554449,727302,360566,9860368
1965,529996,2348100,2607294,355058,1068117,861731,501769,373814,586744,767384,380229,10380236
1966,540163,2445648,2778086,373731,1119932,904677,548841,377207,649189,813950,391056,10942480
1967,552277,2539434,2847549,387211,1169422,945664,533407,408349,721132,845253,398811,11348510
1968,574775,2681029,2983081,406711,1237966,1001657,522728,418907,813984,920518,418961,11980317
1969,585207,2856876,3076517,430714,1255392,1066039,567545,446872,915556,999679,451654,12652051
1970,599016,2994281,3081900,445962,1351818,1139998,636937,469584,1013602,1078585,488562,13300245
1971,611705,3104141,3178106,468971,1387832,1208086,668646,474338,1061230,1163084,510564,13836702
1972,633352,3246401,3346554,489478,1395732,1285575,688186,472766,1150516,1255795,529091,14493446
1973,675941,3425093,3536622,521667,1513070,1389460,739414,494832,1242932,1377143,548222,15464396
1974,666755,3523273,3526724,540904,1556984,1470339,751924,500146,1227706,1466089,573624,15804468
1975,665984,3505123,3516825,552573,1561399,1517433,798346,544683,1265661,1524859,580788,16033674
1976,680933,3670208,3701163,579032,1634589,1600860,793568,551402,1315966,1681900,619948,16829569
1977,695699,3780681,3868829,590842,1673159,1676669,843097,593834,1373741,1772875,645985,17515412
1978,720501,3887756,4089548,611175,1715215,1748945,935083,625695,1446165,1851238,661781,18293102
1979,740370,4035461,4228647,637950,1707083,1859213,1007193,594510,1525477,1932121,692839,18960864
1980,728224,4121621,4230558,647597,1709174,1960037,1041142,637202,1568457,1986128,724036,19354176
1981,718733,4141497,4336141,669985,1724741,1972262,1103378,675882,1618185,2062337,731539,19754680
1982,729861,4171462,4254870,657992,1767262,1949593,1186387,697705,1667653,2137170,754198,19974153
1983,755779,4234880,4433129,670740,1823723,1898753,1287034,753942,1706380,2227968,758981,20551309
1984,774665,4334860,4755958,711401,1847190,1970580,1447262,783042,1773223,2325700,775116,21498997
1985,802000,4434879,4940383,746971,1863687,2029889,1596691,814344,1851315,2384024,799215,22263398
1986,837280,4546938,5110480,764966,1940363,2113143,1703670,848990,1904918,2468933,816503,23056185
1987,877143,4661789,5290129,796627,1965457,2180397,1883027,886154,1984142,2618248,829468,23972581
1988,920841,4842292,5512845,831987,2007280,2200359,2016024,978822,2107060,2744683,863421,25025614
1989,940908,5020943,5703521,856847,2037253,2227686,2051813,1043912,2208858,2876658,889922,25858320
1990,944610,5088891,5803200,862384,1987995,2239815,2123852,1098100,2321153,3099276,902204,26471480
1991,931716,5212552,5791931,851321,1862292,2322924,2263794,1112340,2398928,3247181,908968,26903945
1992,933535,5288133,5985152,866970,1592461,2397205,2483921,1169301,2422245,3469289,909917,27518129
1993,955305,5251063,6146210,893908,1436101,2480215,2724344,1238272,2428242,3669416,918320,28141395
1994,997587,5383282,6395858,935260,1237463,2609704,2997060,1328047,2454919,3845851,938315,29123347
1995,1026044,5520318,6558151,966857,1171751,2647621,3450084,1425623,2504246,4097111,966871,30334677
1996,1054948,5610525,6803769,990914,1137739,2740151,3521141,1537383,2590265,4347011,1021982,31355829
1997,1089522,5762581,7109775,1032166,1160597,2883556,3706647,1611108,2636148,4536710,1057077,32585885
1998,1123047,5914010,7413357,1077839,1133781,2950887,3717352,1715943,2558595,4423569,1096792,33125172
