GDP,,,,,,,,,,,,
(1990 Int. GK$) ,,,,,,,,,,,,
,UK,R.O. W. Europe ,USA,R.O. W. Offshoots ,F. USSR ,L. America,China ,India ,Japan ,R.O. Asia ,Total Africa ,World
1,0.00309,0.13643,0.00263,0.0017,0.01508,0.02165,0.25927,0.32626,0.0116,0.14466,0.07763,1
1000,0.00674,0.08537,0.00438,0.00192,0.02394,0.03845,0.23181,0.28455,0.02688,0.18028,0.11568,1
1500,0.01165,0.17111,0.00331,0.00132,0.035,0.03016,0.25577,0.25039,0.03187,0.12961,0.07981,1
1600,0.01865,0.18475,0.00186,0.00099,0.03548,0.01168,0.29809,0.23055,0.02987,0.11557,0.0725,1
1700,0.02977,0.19523,0.00147,0.00085,0.04503,0.01764,0.23021,0.25232,0.04279,0.11325,0.07143,1
1820,0.05419,0.18341,0.01877,0.00142,0.05635,0.02232,0.34191,0.16664,0.03102,0.07736,0.04661,1
1870,0.09455,0.25107,0.09285,0.01238,0.07895,0.02578,0.17908,0.1273,0.02397,0.07138,0.04269,1
1900,0.09887,0.26159,0.16713,0.01838,0.08239,0.03846,0.11667,0.09117,0.02782,0.06215,0.03537,1
1913,0.08644,0.26072,0.19912,0.02523,0.08942,0.04649,0.09292,0.0786,0.02758,0.06289,0.03059,1
1950,0.06753,0.20355,0.28266,0.03486,0.09906,0.08063,0.04756,0.04314,0.03125,0.07041,0.03934,1
1951,0.06568,0.20545,0.28726,0.03424,0.09397,0.08023,0.05019,0.04169,0.03319,0.06921,0.03889,1
1952,0.06259,0.20562,0.28448,0.03428,0.09553,0.07927,0.05354,0.04098,0.03536,0.06979,0.03855,1
1953,0.06194,0.20648,0.28334,0.03397,0.09488,0.07822,0.05351,0.04149,0.03615,0.07197,0.03805,1
1954,0.06236,0.21159,0.27229,0.03375,0.09624,0.08021,0.05346,0.0418,0.03695,0.07279,0.03857,1
1955,0.06077,0.21287,0.2741,0.03407,0.09824,0.08046,0.05319,0.04025,0.03772,0.07082,0.03751,1
1956,0.05871,0.21439,0.26669,0.03456,0.10273,0.08011,0.05539,0.04065,0.03871,0.07079,0.03726,1
1957,0.05754,0.21739,0.26207,0.03421,0.10109,0.08311,0.05657,0.03878,0.04007,0.07192,0.03725,1
1958,0.05568,0.21747,0.25158,0.03415,0.1054,0.08478,0.06103,0.04048,0.04112,0.07137,0.03695,1
1959,0.05541,0.21834,0.25847,0.03429,0.09969,0.08273,0.05916,0.03954,0.04291,0.07218,0.03728,1
1960,0.0557,0.22127,0.25181,0.03364,0.10377,0.08392,0.05434,0.04022,0.04615,0.07217,0.03701,1
1961,0.05566,0.22656,0.24926,0.03333,0.10613,0.0851,0.04345,0.04008,0.05001,0.07385,0.03658,1
1962,0.05364,0.22882,0.25212,0.03381,0.10399,0.08453,0.0416,0.03908,0.05197,0.07418,0.03627,1
1963,0.05339,0.23004,0.25211,0.03419,0.0974,0.0835,0.04383,0.03933,0.05403,0.07493,0.03725,1
1964,0.05239,0.22775,0.24856,0.03393,0.1025,0.08315,0.04567,0.03948,0.05623,0.07376,0.03657,1
1965,0.05106,0.22621,0.25118,0.03421,0.1029,0.08302,0.04834,0.03601,0.05653,0.07393,0.03663,1
1966,0.04936,0.2235,0.25388,0.03415,0.10235,0.08268,0.05016,0.03447,0.05933,0.07438,0.03574,1
1967,0.04867,0.22377,0.25092,0.03412,0.10305,0.08333,0.047,0.03598,0.06354,0.07448,0.03514,1
1968,0.04798,0.22379,0.249,0.03395,0.10333,0.08361,0.04363,0.03497,0.06794,0.07684,0.03497,1
1969,0.04625,0.2258,0.24316,0.03404,0.09922,0.08426,0.04486,0.03532,0.07236,0.07901,0.0357,1
1970,0.04504,0.22513,0.23172,0.03353,0.10164,0.08571,0.04789,0.03531,0.07621,0.0811,0.03673,1
1971,0.04421,0.22434,0.22969,0.03389,0.1003,0.08731,0.04832,0.03428,0.0767,0.08406,0.0369,1
1972,0.0437,0.22399,0.2309,0.03377,0.0963,0.0887,0.04748,0.03262,0.07938,0.08665,0.03651,1
1973,0.04371,0.22148,0.22869,0.03373,0.09784,0.08985,0.04781,0.032,0.08037,0.08905,0.03545,1
1974,0.04219,0.22293,0.22315,0.03422,0.09852,0.09303,0.04758,0.03165,0.07768,0.09276,0.0363,1
1975,0.04154,0.21861,0.21934,0.03446,0.09738,0.09464,0.04979,0.03397,0.07894,0.0951,0.03622,1
1976,0.04046,0.21808,0.21992,0.03441,0.09713,0.09512,0.04715,0.03276,0.07819,0.09994,0.03684,1
1977,0.03972,0.21585,0.22088,0.03373,0.09552,0.09573,0.04813,0.0339,0.07843,0.10122,0.03688,1
1978,0.03939,0.21253,0.22356,0.03341,0.09376,0.09561,0.05112,0.0342,0.07906,0.1012,0.03618,1
1979,0.03905,0.21283,0.22302,0.03365,0.09003,0.09806,0.05312,0.03135,0.08045,0.1019,0.03654,1
1980,0.03763,0.21296,0.21859,0.03346,0.08831,0.10127,0.05379,0.03292,0.08104,0.10262,0.03741,1
1981,0.03638,0.20965,0.2195,0.03392,0.08731,0.09984,0.05585,0.03421,0.08191,0.1044,0.03703,1
1982,0.03654,0.20884,0.21302,0.03294,0.08848,0.09761,0.0594,0.03493,0.08349,0.107,0.03776,1
