year,ukpop
1,800000
1000,2000000
1500,3942000
1600,6170000
1700,8565000
1820,21239000
1821,21551000
1822,21832000
1823,22117000
1824,22407000
1825,22698000
1826,22996000
1827,23275000
1828,23560000
1829,23847000
1830,24139000
1831,24433000
1832,24684000
1833,24937000
1834,25194000
1835,25452000
1836,25715000
1837,25968000
1838,26223000
1839,26483000
1840,26745000
1841,27004000
1842,27277000
1843,27511000
1844,27785000
1845,28040000
1846,28272000
1847,28118000
1848,27683000
1849,27429000
1850,27181000
1851,26945000
1852,27076000
1853,27248000
1854,27446000
1855,27697000
1856,27978000
1857,28186000
1858,28422000
1859,28660000
1860,28888000
1861,29128000
1862,29401000
1863,29630000
1864,29842000
1865,30089000
1866,30315000
1867,30572000
1868,30845000
1869,31127000
1870,31400000
1871,31685000
1872,31874000
1873,32177000
1874,32501000
1875,32839000
1876,33200000
1877,33576000
1878,33932000
1879,34304000
1880,34623000
1881,34935000
1882,35206000
1883,35450000
1884,35724000
1885,36015000
1886,36313000
1887,36598000
1888,36881000
1889,37178000
1890,37485000
1891,37802000
1892,38134000
1893,38490000
1894,38859000
1895,39221000
1896,39599000
1897,39987000
1898,40381000
1899,40773000
1900,41155000
1901,41538000
1902,41893000
1903,42246000
1904,42611000
1905,42981000
1906,43361000
1907,43737000
1908,44124000
1909,44520000
1910,44916000
1911,45268000
1912,45426000
1913,45649000
1914,46049000
1915,46340000
1916,46514000
1917,46614000
1918,46575000
1919,46534000
1920,46821000
1921,44072000
1922,44372000
1923,44596000
1924,44915000
1925,45059000
1926,45232000
1927,45389000
1928,45578000
1929,45672000
1930,45866000
1931,46074000
1932,46335000
1933,46520000
1934,46666000
1935,46868000
1936,47081000
1937,47289000
1938,47494000
1939,47991000
1940,48226000
1941,48216000
1942,48400000
1943,48789000
1944,49016000
1945,49182000
1946,49217000
1947,49519000
1948,50014000
1949,50312000
1950,50127000
1951,50290000
1952,50430000
1953,50593000
1954,50765000
1955,50946000
1956,51184000
1957,51430000
1958,51652000
1959,51956000
1960,52372000
1961,52807000
1962,53292000
1963,53625000
1964,53991000
1965,54350000
1966,54643000
1967,54959000
1968,55214000
1969,55461000
1970,55632000
1971,55907000
1972,56079000
1973,56210000
1974,56224000
1975,56215000
1976,56206000
1977,56179000
1978,56167000
1979,56228000
1980,56314000
1981,56382597
1982,56339704
1983,56382623
1984,56462228
1985,56620240
1986,56796260
1987,56981620
1988,57159603
1989,57324472
1990,57493307
1991,57665646
1992,57866349
1993,58026920
1994,58212518
1995,58426014
1996,58618663
1997,58808266
1998,59035652
1999,59293320
2000,59522468
2001,59723243
2002,59912431
2003,60094648
2004,60270708
2005,60441457
2006,60609153
2007,60776238
2008,60943912
2009,61113000
